Avg_ch1,Err_ch1,Avg_ch2,Err_ch2,Avg_ch3,Err_ch3,Avg_ch4,Err_ch4,Avg_coinc12,Err_coinc12
7726.184,5.62571820137494,8440.291,5.867255061607425,84.884,0.5437148166105111,56.552,0.48020389396565677,591.808,1.524538212299305
Sample,ch1,ch2,ch3,ch4,coinc12
492,7651,8331,77,62,612
493,7781,8513,89,47,616
494,7681,8485,97,58,587
495,7818,8498,90,43,563
496,7634,8520,96,69,628
497,7844,8403,73,64,631
498,7807,8448,92,47,622
499,7634,8537,80,61,603
500,7766,8609,75,54,578
501,7744,8234,100,39,597
502,7600,8583,73,67,594
503,7528,8473,97,53,598
504,7838,8439,79,56,592
505,7797,8353,95,47,599
506,7821,8381,79,61,605
507,7732,8286,77,47,579
508,7706,8739,93,56,568
509,7763,8556,91,67,580
510,7587,8364,94,67,566
511,7792,8575,87,62,593
512,7767,8565,79,47,579
513,7765,8429,86,43,595
514,7570,8351,85,61,560
515,7895,8392,82,55,607
516,7652,8426,74,52,647
517,7672,8452,98,58,577
518,7720,8256,83,55,582
519,7651,8487,95,57,615
520,7944,8417,85,59,578
521,7628,8415,86,40,596
522,7867,8443,72,64,530
523,7562,8395,80,57,573
524,7612,8512,86,61,583
525,7750,8335,85,63,593
526,7574,8464,81,62,531
527,7652,8421,86,57,598
528,7762,8492,85,58,571
529,7573,8428,82,55,553
530,7686,8452,90,60,560
531,7508,8481,91,52,582
532,7653,8567,85,62,593
533,7528,8479,80,60,573
534,7790,8378,95,50,552
535,7806,8331,88,60,623
536,7574,8525,80,65,591
537,7636,8186,78,61,554
538,7683,8367,79,54,606
539,7840,8350,74,73,558
540,7608,8494,88,59,548
541,7722,8401,64,57,589
542,7495,8505,89,65,586
543,7783,8349,88,56,606
544,7739,8405,72,38,575
545,7570,8429,91,49,584
546,7699,8498,99,57,617
547,7607,8446,85,53,566
548,7665,8461,73,50,611
549,7702,8402,88,48,566
550,7658,8385,80,51,613
551,7659,8397,86,58,577
552,7789,8534,80,64,586
553,7720,8425,85,55,611
554,7675,8560,89,52,592
555,7738,8440,91,50,567
556,7629,8471,93,38,618
557,7753,8356,75,59,563
558,7590,8367,80,32,585
559,7630,8252,92,56,589
560,7683,8488,66,40,572
561,7694,8480,76,53,606
562,7617,8564,82,69,592
563,7651,8480,93,57,562
564,7734,8424,93,53,589
565,7635,8472,88,65,568
566,7657,8342,89,51,585
567,7896,8378,90,54,573
568,7712,8622,87,65,595
569,7690,8441,89,61,567
570,7721,8442,90,51,618
571,7672,8536,78,67,580
572,7806,8450,81,55,572
573,7748,8454,97,48,584
574,7748,8297,83,55,598
575,7650,8398,100,56,619
576,7701,8298,87,75,534
577,7840,8548,93,59,638
578,7781,8373,87,69,594
579,7552,8293,59,52,582
580,7673,8456,83,51,578
581,7678,8383,86,54,595
582,7806,8482,82,66,577
583,7717,8442,93,56,537
584,7662,8530,83,57,615
585,7605,8350,82,46,561
586,7805,8299,86,60,599
587,7807,8381,79,49,604
588,7658,8426,75,66,567
589,7690,8420,78,64,561
590,7767,8476,81,67,610
591,7766,8344,92,66,594
592,7794,8319,93,54,582
