Avg_ch1,Err_ch1,Avg_ch2,Err_ch2,Avg_ch3,Err_ch3,Avg_ch4,Err_ch4,Avg_coinc12,Err_coinc12
4016.441,4.078620995535773,4050.754,4.157453349630558,85.373,0.590345654673592,56.605,0.4513974519862287,276.164,1.038635248380864
Sample,ch1,ch2,ch3,ch4,coinc12
415,4053,4178,78,58,289
416,3999,3979,94,54,279
417,4111,4089,95,44,287
418,4003,4061,93,59,304
419,4112,4069,85,45,283
420,4063,4061,98,66,286
421,3970,3937,91,60,259
422,4150,4120,105,75,275
423,3915,4096,80,66,276
424,3971,4022,89,59,281
425,4004,4001,96,63,273
426,4068,4107,70,62,272
427,3974,3980,85,55,260
428,4093,4038,72,57,283
429,4030,4149,99,53,277
430,4028,4088,116,70,289
431,3966,4054,69,50,295
432,4126,4189,71,59,299
433,3997,4161,58,46,290
434,4007,4053,98,59,272
435,3885,3995,109,59,269
436,4015,4112,74,56,303
437,3999,4137,95,70,278
438,4037,4110,84,76,267
439,4086,4061,72,56,249
440,4006,3936,88,62,264
441,3975,4015,84,65,307
442,3969,4175,94,51,254
443,3979,4112,84,56,304
444,4071,4088,89,55,272
445,4161,3913,99,61,291
446,4020,4197,79,52,252
447,4048,4178,84,54,292
448,3985,4107,78,48,277
449,3977,3998,86,60,301
450,4124,4142,86,57,269
451,4075,4109,86,54,276
452,4052,4152,87,58,290
453,4051,4024,78,49,294
454,3933,4028,92,76,260
455,4053,4009,89,65,278
456,3985,4047,78,45,285
457,3924,4095,74,61,271
458,3965,4036,73,53,294
459,3984,4152,79,56,258
460,4044,4087,91,53,278
461,4087,4028,91,49,263
462,3980,4164,85,59,288
463,3945,4031,84,60,267
464,4022,4057,91,58,251
465,4060,4081,95,64,264
466,3946,4141,85,60,279
467,4033,4028,76,63,256
468,3906,4100,96,53,288
469,4124,4015,81,59,250
470,4026,4096,90,49,281
471,4036,4073,85,74,286
472,3890,3991,91,51,280
473,4064,4039,87,54,276
474,4088,4101,67,54,280
475,4042,4098,93,57,281
476,4030,4050,82,56,277
477,4052,4050,82,53,279
478,4075,4132,84,40,287
479,4133,4044,75,44,280
480,4102,4131,90,51,302
481,4025,3998,96,60,264
482,4201,4056,79,58,274
483,4087,4015,82,54,276
484,3974,4019,83,47,279
485,4019,4020,78,49,288
486,4039,3940,63,60,279
487,3958,4131,86,55,290
488,4072,4128,101,51,304
489,4126,4032,87,67,261
490,4055,4017,88,64,296
491,4022,4031,92,48,320
492,4146,4151,85,44,286
493,4102,4138,85,64,288
494,4016,4124,79,62,277
495,3999,4050,76,54,240
496,4073,4040,82,69,299
497,4074,4014,84,63,288
498,3987,4020,100,59,299
499,3938,4095,94,60,281
500,4023,4150,92,55,292
501,4085,4094,72,60,259
502,4103,3993,82,57,264
503,3975,4032,70,40,295
504,4046,4010,83,55,265
505,4027,4091,100,53,289
506,3974,3960,90,51,282
507,4004,4104,81,58,298
508,4049,4144,72,56,286
509,4006,4020,89,49,257
510,4072,4103,93,49,263
511,4037,4065,98,50,256
512,4051,4032,91,44,285
513,3957,3885,87,58,282
514,4005,4118,77,55,281
515,4000,4091,90,62,267
516,4079,3974,79,57,259
517,4032,4021,81,54,285
518,4013,4006,95,45,261
519,4105,3954,74,60,272
520,4000,3966,92,55,256
521,4044,4037,71,49,300
522,4068,4006,97,56,267
523,3971,4021,94,57,277
524,3929,4033,101,58,247
525,3977,4015,82,37,265
526,4066,3923,83,76,282
527,3923,4021,89,52,280
528,3911,3976,68,67,265
529,4053,3981,85,49,287
530,4033,4013,82,58,272
531,4053,3996,111,58,289
532,4139,4051,75,62,288
533,4051,3876,98,71,264
534,4040,4097,92,48,291
535,3941,4120,68,53,280
536,3998,4055,94,48,290
537,3995,4015,110,60,278
538,4002,4077,97,66,293
539,3954,4060,85,63,257
540,4006,3952,84,49,254
541,3963,4064,73,55,313
542,4066,4003,91,55,272
543,4054,4081,77,59,274
544,3898,4139,97,69,302
545,4018,4009,83,45,278
546,3976,4062,87,58,288
547,3896,4031,68,57,262
548,4016,4023,78,48,293
549,4038,4113,82,57,256
550,4050,4148,90,53,285
551,3955,4081,86,63,271
552,3962,4088,81,52,281
553,4055,4007,74,50,261
554,4065,3973,98,53,280
555,4069,4103,79,70,317
556,4136,4106,80,62,271
557,3979,4028,76,64,268
558,4022,4137,77,42,282
559,4034,4046,91,63,267
560,4045,3990,86,61,283
561,3944,4035,81,67,276
562,3946,4080,103,53,308
563,3955,3965,86,66,275
564,4073,4003,81,64,292
565,4061,4033,73,59,286
566,4160,4083,91,49,306
567,3910,4050,82,71,265
568,4107,4150,102,60,290
569,4032,4109,89,59,266
570,4055,4100,83,60,273
571,3993,4053,95,57,277
572,4053,3985,82,51,294
573,3986,4095,83,62,284
574,4103,4151,78,52,283
575,4039,4125,81,66,271
576,4022,4089,93,49,292
577,3977,4233,106,53,292
578,3968,4105,96,51,297
579,3904,4072,77,74,270
580,4098,4087,72,57,244
581,3910,4053,90,53,298
582,3964,4084,78,73,258
583,4098,4026,89,56,284
584,4009,3963,103,54,274
585,4002,3863,76,56,255
586,4029,4153,91,47,283
587,4028,3995,80,65,284
588,4081,3994,89,61,298
589,3976,4132,86,57,279
590,4066,4017,102,62,279
591,3931,4039,81,46,263
592,3976,3934,81,52,282
593,4008,4083,77,57,280
594,4063,4011,93,60,266
595,3971,4000,84,55,281
596,3942,4117,81,66,279
597,4041,4114,74,62,309
598,4089,4022,73,55,268
599,4140,4049,75,61,312
600,3946,3939,79,62,243
601,3992,4092,78,63,268
602,4062,4159,78,64,270
603,4107,4062,72,46,264
604,4085,4000,89,52,276
605,3992,3924,74,52,295
606,4085,4030,75,71,258
607,4032,3970,92,56,296
608,4074,4082,94,48,273
609,4023,3922,84,57,271
610,4107,4045,86,61,295
611,3944,4026,74,53,259
612,3959,4045,88,56,270
613,4092,4091,67,50,307
614,4089,4026,80,60,291
615,3953,4170,87,47,261
616,4056,4060,88,60,289
617,3918,3981,92,65,258
618,3937,4009,78,57,299
619,3995,4062,68,55,263
620,4030,4055,84,59,276
621,3872,4056,74,65,272
622,4032,4167,73,50,282
623,4056,4055,92,52,282
624,3994,4102,118,48,299
625,4119,4150,97,56,288
626,4056,4060,80,64,285
627,3851,3936,84,62,264
628,4002,4060,86,51,294
629,4068,4068,82,55,281
630,3924,4069,80,57,248
631,3950,4071,76,52,273
632,4011,4024,88,45,262
633,4059,4076,81,56,268
634,4083,4025,72,54,247
635,4005,4092,80,47,280
636,3946,4039,87,62,285
637,3985,3965,79,51,282
638,4047,4089,80,51,308
639,4044,4080,77,73,273
640,3964,4026,94,49,279
641,4087,3968,85,61,275
642,3986,4009,68,53,267
643,4063,3996,84,55,275
644,4104,4065,96,58,277
645,3946,4022,91,63,272
646,4010,3960,73,51,276
647,4086,3929,83,60,280
648,3922,4030,90,53,271
649,4139,4051,73,54,274
650,3883,4121,82,47,283
651,4011,4059,85,71,288
652,3947,4033,83,61,248
653,3900,4136,92,54,284
654,4017,4027,90,53,288
655,4048,4054,70,56,301
656,3965,4007,71,57,282
657,4051,4088,75,63,286
658,3952,4141,87,64,291
659,3987,4031,73,54,272
660,4023,4021,106,40,273
661,4119,4057,67,63,280
662,3995,4077,87,52,274
663,4039,3990,91,44,279
664,3866,4041,92,63,255
665,4044,4061,91,59,298
666,4034,4170,75,63,270
667,4050,4054,79,62,279
668,4094,4028,78,62,302
669,4128,4078,71,42,329
670,3975,3933,90,38,272
671,4039,4049,84,61,269
672,4014,4096,80,43,261
673,4040,3998,108,64,250
674,3947,4030,89,57,293
675,4015,3912,108,39,282
676,4086,3970,83,52,279
677,4017,4029,92,50,283
678,4011,4046,80,51,262
679,4019,4086,95,67,277
680,3982,4063,84,55,296
681,4081,3972,93,66,291
682,4059,4047,101,57,292
683,4008,4073,101,53,236
684,3947,3948,77,53,297
685,4098,3951,85,53,249
686,4001,3954,93,54,266
687,3971,4087,71,60,268
688,4021,4115,96,54,292
689,3910,4045,78,45,257
690,4012,4046,96,66,267
691,4010,4004,103,59,262
692,4175,4078,72,64,272
693,4042,4060,95,60,268
694,4004,3921,89,63,266
695,4033,4108,85,53,275
696,3832,4054,106,51,253
697,4040,4101,72,53,272
698,4067,4129,96,65,273
699,3972,4056,84,61,271
700,4045,4044,80,40,250
701,3879,4085,87,60,307
702,3987,4105,90,52,288
703,3989,3967,94,58,264
704,4127,4016,92,48,294
705,4053,3999,89,62,279
706,3991,4085,85,46,272
707,3940,4055,85,50,268
708,4027,4044,79,40,287
709,4091,4025,86,53,281
710,4083,4131,102,61,280
711,3987,4063,63,54,283
712,3984,3982,77,69,301
713,3905,4136,93,59,272
714,4085,4051,84,58,296
715,4027,4050,90,59,294
716,3995,4043,83,45,257
717,3978,4064,88,57,282
718,3985,3906,87,57,260
719,3990,4011,95,50,249
720,3935,4055,79,55,275
721,3879,3958,83,54,276
722,4020,4124,68,67,253
723,3959,4035,102,73,261
724,4021,4068,88,47,286
725,4066,4094,79,50,295
726,3975,4058,94,73,290
727,4037,3912,92,58,261
728,4062,4002,72,63,270
729,3996,4072,111,53,265
730,3981,4119,93,59,283
731,3949,4116,73,64,303
732,4057,3931,81,54,266
733,3955,3979,84,60,278
734,3917,3988,97,63,288
735,4040,3973,72,53,250
736,3940,4016,88,58,265
737,3965,4023,89,47,271
738,4040,4133,90,62,296
739,3966,4054,85,64,241
740,3856,4035,92,49,234
741,4053,4079,91,46,267
742,4094,4027,76,49,246
743,4020,4020,89,70,294
744,4035,4071,63,73,245
745,3991,4089,74,66,283
746,4026,4089,90,52,266
747,4027,4044,77,47,264
748,4098,4159,81,67,296
749,4012,3999,95,61,262
750,3980,3932,81,52,274
751,4015,4037,102,62,278
752,4118,4126,83,56,287
753,3988,4040,100,60,255
754,4016,3952,87,54,274
755,4059,4036,100,61,286
756,4112,4059,71,61,302
757,3905,4029,95,60,229
758,3921,3924,90,51,242
759,3990,4021,75,52,257
760,4093,4242,80,52,270
761,3854,4076,84,71,280
762,3970,3984,78,50,258
763,4000,4085,91,60,276
764,4152,4010,93,48,253
765,3998,4088,83,58,246
766,4060,4194,90,49,300
767,4071,4102,84,57,301
768,4099,3954,97,57,285
769,3877,4200,95,46,266
770,3990,4048,71,52,274
771,3938,4111,74,49,274
772,3935,3940,88,46,288
773,3898,4085,98,50,267
774,3994,3959,75,57,260
775,3966,3981,77,52,266
776,4000,3901,72,58,298
777,4073,4165,93,54,275
778,3961,4117,83,59,280
779,3993,3973,100,67,280
780,3904,4064,95,64,264
781,4009,3987,78,54,254
782,4093,4029,85,57,294
783,3896,4031,92,54,266
784,4183,4104,89,45,289
785,4050,4133,73,40,278
786,4088,4049,82,60,263
787,4006,4071,94,49,271
788,4061,4031,92,58,273
789,4132,4046,75,54,273
790,4016,4047,81,57,252
791,3905,4114,73,60,281
792,4001,4005,88,61,272
793,3984,4027,101,54,263
794,3965,4052,96,54,286
795,4068,4126,100,53,290
796,3990,4075,82,66,266
797,4122,4067,87,48,273
798,4049,4082,82,63,276
799,4023,4082,96,54,295
800,4076,4075,80,57,289
801,3993,4131,84,68,288
802,3984,4081,96,45,277
803,4015,4046,86,64,273
804,4045,4076,58,55,271
805,4073,4003,73,55,310
806,3969,4052,67,48,269
807,3807,4086,91,62,269
808,3956,4161,96,57,256
