Avg_ch1,Err_ch1,Avg_ch2,Err_ch2,Avg_ch3,Err_ch3,Avg_ch4,Err_ch4,Avg_coinc12,Err_coinc12
3999.804,4.059582065008976,4086.029,4.072731242762745,85.2,0.5531527618822651,57.121,0.4541890836686013,12.993,0.23813549192111727
Sample,ch1,ch2,ch3,ch4,coinc12
565,3791,4070,94,44,6
566,4022,4162,83,67,9
567,3895,4029,80,56,17
568,4067,4221,87,66,18
569,4063,3996,79,46,7
570,4006,4218,88,62,14
571,3902,4109,84,68,10
572,3989,4114,88,66,10
573,4013,4088,74,46,11
574,3997,4087,86,50,10
575,3931,4117,99,62,10
576,3946,4124,92,71,12
577,3922,4002,110,55,17
578,3834,4211,77,75,13
579,3971,4053,87,51,12
580,3863,4082,87,47,12
581,4039,4197,100,59,9
582,4012,4185,95,45,9
583,4125,4125,74,54,8
584,3957,4084,72,62,13
585,4034,4034,102,58,14
586,4074,4102,84,67,10
587,3980,4177,68,64,11
588,4131,3979,91,58,17
589,4058,4108,114,55,14
590,4011,4109,98,62,8
591,3947,4128,72,51,10
592,3944,3999,88,51,14
593,3936,3974,75,53,9
594,3868,4116,92,54,14
595,3948,4053,94,52,11
596,4000,4069,84,53,11
597,3993,4070,88,62,12
598,3861,4109,85,64,12
599,3961,4062,99,58,12
600,4006,4103,76,60,8
601,3944,4190,84,64,12
602,3880,4147,86,53,12
603,4118,4037,95,67,14
604,3984,4096,86,61,13
605,3953,4106,83,60,20
606,3986,4114,84,58,17
607,3844,4086,97,42,6
608,4006,4150,87,60,6
609,4005,3973,79,61,7
610,3879,4070,93,47,12
611,4162,4085,80,57,16
612,3947,4077,99,57,15
613,4045,4038,86,56,8
614,3989,4122,95,56,10
615,4062,4007,86,55,15
616,3985,4082,67,57,11
617,3928,4077,91,65,12
618,4042,4009,109,56,17
619,4030,4128,83,62,7
620,3999,4056,80,65,18
621,3912,4075,71,52,13
622,4005,4058,95,47,13
623,4021,4058,78,55,10
624,3995,3904,77,81,12
625,4088,4105,87,63,11
626,4127,4022,76,57,10
627,3990,4139,82,61,9
628,4018,4147,81,59,14
629,4000,4082,93,51,14
630,4041,4148,73,56,11
631,3994,4059,84,54,22
632,3976,4052,77,56,11
633,4080,4017,89,57,8
634,4030,4097,86,52,8
635,3965,4078,78,65,9
636,4044,4158,77,57,17
637,3934,4042,75,53,16
638,4044,4127,96,58,13
639,3818,4148,85,58,12
640,3972,4156,70,60,14
641,3993,4136,88,69,14
642,4036,3995,83,59,12
643,4014,4015,88,58,19
644,4074,4130,87,51,16
645,4064,3957,68,52,13
646,3933,4061,78,46,7
647,3982,4018,89,53,12
648,3978,4163,99,47,11
649,4040,4109,73,66,12
650,3966,4107,79,52,16
651,3978,4095,88,62,12
652,4013,4018,86,39,11
653,4026,4012,88,51,19
654,4066,4102,83,58,17
655,4066,4074,92,46,12
656,3836,4132,80,57,12
657,4042,4066,74,66,14
658,3943,4109,72,56,16
659,3983,4166,85,57,14
660,3920,4194,82,61,13
661,3950,4072,90,56,15
662,4076,4073,94,68,18
663,4023,4153,88,68,12
664,4058,4118,78,64,14
665,3876,4148,85,60,15
666,3960,4235,96,64,13
667,3969,4060,87,67,10
668,4048,4050,75,60,10
669,4066,4060,98,50,14
670,3894,4008,86,51,11
671,3996,4190,96,49,13
672,4037,4163,89,60,9
673,4038,4085,58,55,10
674,4059,3942,87,73,11
675,4124,4091,97,55,17
676,3978,4035,79,47,13
677,4040,3947,82,43,13
678,3934,4086,70,53,20
679,4056,4110,86,70,9
680,3949,3989,88,61,13
681,4108,4152,92,56,17
682,3991,4149,83,57,19
683,4017,4184,86,49,17
684,3958,4032,72,54,13
685,4010,4222,84,46,7
686,3989,4127,82,54,9
687,4043,4161,92,36,13
688,3947,3993,86,49,6
689,4041,4028,95,52,15
690,4006,4189,80,55,12
691,4091,3953,75,59,14
692,3996,4118,87,59,7
693,4088,4169,80,50,10
694,4054,4103,87,58,14
695,3876,4143,90,64,14
696,3916,4131,84,60,13
697,3986,4120,78,67,17
698,3997,4123,95,50,12
699,3948,4243,78,64,10
700,4022,4110,81,42,13
701,4077,4137,102,65,16
702,4020,4058,96,55,15
703,4047,4176,101,67,7
704,4053,4077,99,53,19
705,3932,4233,91,57,13
706,4089,4062,92,54,12
707,4008,4004,90,56,13
708,4074,4134,66,59,8
709,3961,4076,95,66,15
710,3920,4148,96,53,17
711,3966,4133,79,59,14
712,4021,4101,77,66,16
713,3991,4096,86,51,6
714,3959,4094,82,48,14
715,3978,4081,83,67,7
716,3876,4100,96,56,10
717,4072,4082,88,66,12
718,3895,4153,98,60,9
719,3976,4028,93,57,13
720,3956,4121,84,61,15
721,4005,4122,85,57,16
722,4023,4074,87,49,17
723,3996,4145,90,54,19
724,4043,4209,83,66,14
725,4006,4180,85,70,12
726,4008,4051,78,65,15
727,4006,4026,69,65,12
728,4080,4071,68,63,11
729,3941,4128,87,46,10
730,4050,4059,91,51,9
731,4037,4070,81,42,18
732,4030,4120,82,58,20
733,3911,4125,75,66,12
734,4165,4099,82,63,18
735,3973,4014,86,66,9
736,3888,4036,77,47,12
737,4062,4033,95,71,18
738,4073,4101,84,51,14
739,3984,4104,78,59,11
740,3900,3960,73,53,11
741,3964,4058,98,57,8
742,4049,4129,94,57,12
743,3930,4169,88,65,17
744,3894,4096,87,43,12
745,4058,4066,96,46,5
746,4005,4116,82,56,12
747,3889,4068,95,53,17
748,3962,4076,85,43,23
749,3993,4123,73,53,13
750,4031,4093,76,50,13
751,3943,4126,96,53,15
752,3994,4085,95,53,11
753,3913,4088,75,64,16
754,4025,4185,80,58,12
755,3884,4047,95,62,13
756,3934,4119,78,56,17
757,4061,4134,79,70,17
758,4126,4143,80,57,20
759,3955,4098,79,61,13
760,4073,4097,90,68,8
761,4075,4126,78,60,19
762,3988,4057,102,49,10
763,4000,4097,88,58,23
764,3968,4103,86,44,9
765,3918,3991,95,52,6
766,3991,4055,79,57,12
767,3992,4130,89,57,18
768,4025,4000,84,67,14
769,3967,4146,85,62,15
770,4016,4028,82,52,9
771,3997,4196,87,60,23
772,3988,4078,80,72,8
773,3958,4085,96,60,10
774,3961,4057,65,46,14
775,4015,3984,80,51,9
776,4029,4078,97,53,12
777,3966,4073,82,59,14
778,3903,4120,82,47,7
779,4168,3980,72,59,6
780,3917,4087,89,57,12
781,3926,4176,75,58,19
782,4065,4039,78,63,16
783,3996,4098,78,58,13
784,3957,3914,84,47,9
785,3942,4057,91,54,18
786,4016,4219,76,64,13
787,3997,4158,76,62,25
788,4019,4110,87,58,18
789,3963,4108,90,63,7
790,3990,4098,82,56,17
791,3889,4068,80,68,13
792,4050,4000,88,60,11
793,4045,4113,76,53,14
794,3987,4087,73,55,18
795,3999,4136,79,56,12
796,4034,4079,83,55,20
797,3948,4140,99,52,12
798,3943,4124,87,60,14
799,3913,4123,85,54,16
800,4107,4021,86,63,14
801,4108,4075,76,57,14
802,4015,4011,89,60,16
803,4051,4012,83,66,10
804,4036,4076,79,46,15
805,3978,4143,75,71,10
806,4059,4112,74,54,14
807,3983,4059,77,51,13
808,4009,4051,88,53,7
809,4040,4279,110,66,9
810,4068,4180,87,67,11
811,4018,4077,97,48,7
812,4049,4094,87,59,24
813,3900,4229,83,61,20
814,4043,4140,92,54,16
815,4022,4021,82,56,14
816,3940,4038,85,57,18
817,3988,4010,88,57,10
818,4105,4210,75,61,15
819,4006,4050,89,59,15
820,4021,4049,90,44,8
821,3900,4159,81,66,13
822,3994,4068,81,56,8
823,4023,4108,95,51,12
824,4097,4057,93,69,15
825,4039,4085,88,55,10
826,4066,4056,92,56,8
827,4084,4131,105,41,16
828,3970,4160,84,51,14
829,3965,4109,94,47,15
830,4039,4063,90,64,14
831,3974,4125,83,67,10
832,4016,4077,86,64,21
833,4098,4134,66,77,14
834,3816,4159,87,56,9
835,4115,4132,83,61,12
836,3898,3956,96,67,11
837,3945,3976,97,54,8
838,4037,4055,94,50,10
839,4043,4044,86,65,17
840,4033,4048,76,50,9
841,4049,4172,92,38,13
842,4097,4044,94,49,9
843,3881,4145,81,64,21
844,4039,4087,88,52,8
845,3922,4074,67,58,11
846,3871,4073,95,63,12
847,4020,3987,87,69,14
848,4020,4183,76,53,10
849,4040,4174,92,55,17
850,3974,4106,86,41,17
851,3966,4149,89,55,14
852,4023,4198,79,53,13
853,3948,4078,77,55,14
854,3987,4068,81,54,17
855,4084,4142,87,57,12
856,4041,4073,101,64,10
857,3988,4045,86,60,12
858,3949,4095,88,47,12
859,4043,4047,69,45,17
860,4064,4036,89,55,8
861,3993,4067,87,48,11
862,4054,4146,87,61,12
863,4053,4138,92,39,20
864,4046,4118,75,54,11
865,4000,4049,93,58,15
866,4026,4194,88,56,17
867,3995,4075,75,51,12
868,4058,4139,79,55,7
869,3976,3965,92,57,15
870,3982,4123,82,59,15
871,4061,4010,96,56,10
872,3994,4058,97,76,11
873,4084,4106,82,64,15
874,3902,4119,80,52,9
875,3876,4077,76,61,8
876,3939,4104,97,54,9
877,4082,4271,86,63,18
878,4007,4179,88,56,7
879,4145,4197,94,48,16
880,3960,4098,88,49,9
881,3954,4008,105,44,13
882,4042,4154,89,67,16
883,4051,4075,85,56,16
884,4106,4145,81,53,7
885,3992,4013,96,56,11
886,4046,4090,90,47,19
887,4023,4133,91,55,15
888,4058,3994,70,50,14
889,4004,4197,83,53,14
890,4060,4101,78,59,17
891,3948,4033,92,61,9
892,3967,4027,89,59,16
893,3904,4240,74,55,17
894,4008,4125,86,59,16
895,3929,4092,76,49,16
896,3977,4091,86,57,10
897,4121,4121,81,62,16
898,4029,4146,88,59,18
899,4146,4144,85,49,16
900,4057,4236,99,43,20
901,4147,4049,86,67,8
902,3892,4051,89,59,15
903,4012,3978,92,60,12
904,4027,4026,99,55,13
905,3888,4164,96,67,12
906,3863,3980,78,56,13
907,4024,4000,101,59,18
908,4104,4077,92,70,17
909,3931,4192,107,58,16
910,3990,4143,67,58,19
911,3979,4117,84,60,12
912,4065,4121,90,49,17
913,4046,4082,69,71,15
914,3965,4162,82,61,12
915,4018,4188,81,57,12
916,3893,4068,91,54,16
917,3855,4079,93,62,18
918,4038,4117,84,66,17
919,3929,4143,78,54,9
920,4027,4115,76,53,14
921,3948,4107,92,53,11
922,4027,4158,83,62,14
923,3920,4102,73,46,20
924,3898,4079,82,62,7
925,3952,4150,79,67,16
926,4019,4138,80,55,16
927,3962,4052,104,75,15
928,4045,4115,96,58,14
929,3991,4133,82,48,18
930,3943,4078,84,57,19
931,3923,4183,84,57,16
932,4034,4074,90,61,16
933,4027,4100,92,53,15
934,4045,4204,105,46,17
935,4043,4172,79,51,10
936,3966,4093,84,56,15
937,4024,4026,86,52,18
938,4129,4073,90,58,10
939,3964,4012,78,56,10
940,3932,4188,96,50,21
941,4012,4170,85,54,11
942,3940,4191,96,65,17
943,3981,4018,94,46,14
944,4062,4113,92,58,15
945,4070,4106,99,66,11
946,3954,4086,82,63,15
947,4017,4088,90,46,14
948,3924,4160,76,62,10
949,3946,4109,88,56,12
950,4023,3980,98,52,16
951,3985,4094,93,73,15
952,4001,4086,81,57,10
