Avg_ch1,Err_ch1,Avg_ch2,Err_ch2,Avg_ch3,Err_ch3,Avg_ch4,Err_ch4
83.157,0.5631612154210858,45.929,0.4145210050934255,83.928,0.5917443919678711,56.223,0.45695283114331386
Sample,ch1,ch2,ch3,ch4
650,86,47,85,64
651,93,43,101,49
652,84,38,89,81
653,72,49,91,59
654,82,39,76,49
655,104,44,93,53
656,87,63,91,53
657,84,49,89,53
658,89,54,82,56
659,83,35,68,63
660,66,34,92,47
661,86,52,91,66
662,78,50,103,57
663,83,60,86,66
664,82,47,81,55
665,66,45,85,40
666,94,51,92,65
667,80,41,75,63
668,84,49,92,58
669,87,43,83,48
670,116,41,86,63
671,79,50,89,49
672,91,48,96,52
673,68,46,109,56
674,67,44,90,58
675,74,48,70,42
676,75,32,73,60
677,68,39,66,64
678,88,43,70,67
679,73,46,90,59
680,96,46,64,58
681,86,53,74,46
682,93,33,76,59
683,83,40,84,44
684,88,42,76,57
685,89,37,75,52
686,82,39,77,46
687,74,50,92,58
688,75,48,74,67
689,68,53,81,52
690,76,39,88,68
691,87,49,91,66
692,82,55,88,65
693,80,51,82,63
694,95,52,105,55
695,84,42,73,69
696,84,41,71,68
697,87,49,75,49
698,79,51,87,51
699,86,57,95,55
700,83,37,98,55
701,83,43,86,52
702,87,38,73,49
703,86,54,85,46
704,79,53,86,55
705,82,49,68,71
706,78,43,91,53
707,78,46,92,43
708,84,47,84,54
709,89,42,87,63
710,96,43,101,63
711,70,36,81,48
712,91,41,95,71
713,87,40,94,60
714,78,50,84,55
715,82,44,80,47
716,94,44,71,44
717,92,40,92,48
718,82,43,93,51
719,79,52,85,53
720,68,48,89,57
721,86,53,86,65
722,74,39,81,55
723,60,45,83,41
724,76,51,85,69
725,74,48,76,46
726,69,48,78,62
727,91,45,89,44
728,75,34,82,67
729,67,48,76,55
730,91,47,76,57
731,80,40,76,66
732,86,50,80,54
733,69,41,74,68
734,72,42,97,47
735,81,43,80,50
736,77,37,74,64
737,89,34,89,43
738,79,37,89,75
739,95,39,78,53
740,87,45,69,49
741,92,49,90,52
742,81,45,88,55
743,79,38,71,53
744,85,44,82,49
745,96,47,81,53
746,66,42,78,44
747,84,42,93,61
748,88,49,76,65
749,79,45,87,56
750,81,51,85,53
751,81,46,77,60
752,71,38,71,54
753,96,46,90,55
754,69,38,70,35
755,91,38,85,53
756,81,47,81,64
757,81,46,87,58
758,75,34,90,54
759,85,42,89,58
760,87,43,74,63
761,77,44,70,61
762,79,40,79,57
763,71,35,83,63
764,70,38,97,42
765,93,44,80,48
766,97,42,87,62
767,90,45,81,59
768,79,51,83,43
769,81,43,74,49
770,93,46,74,61
771,99,43,97,50
772,81,34,98,63
773,88,44,98,57
774,61,43,72,40
775,78,50,72,53
776,84,40,99,52
777,91,55,79,67
778,77,42,97,60
779,64,54,90,51
780,89,35,99,50
781,84,45,91,52
782,97,37,80,53
783,81,40,84,55
784,77,42,94,49
785,69,50,90,63
786,92,51,88,70
787,93,49,86,53
788,68,40,79,54
789,97,47,93,78
790,76,42,98,63
791,86,38,92,58
792,81,54,79,60
793,73,50,60,63
794,84,49,70,51
795,89,40,75,58
796,96,33,87,63
797,90,52,74,62
798,82,44,74,59
799,101,48,79,49
800,90,46,91,57
801,74,48,92,53
802,71,47,75,61
803,78,50,99,55
804,77,44,88,63
805,84,42,86,56
806,77,42,76,66
807,89,37,87,60
808,100,47,96,46
809,102,58,89,54
810,61,44,83,52
811,86,37,89,58
812,90,49,85,58
813,98,40,87,50
814,74,47,84,63
815,69,56,86,51
816,71,44,79,60
817,102,51,77,50
818,104,45,78,57
819,80,41,79,48
820,76,40,90,63
821,99,40,88,51
822,82,37,87,57
823,85,53,91,58
824,82,43,96,62
825,79,52,91,50
826,73,48,83,57
827,74,38,87,64
828,76,36,84,48
829,85,53,86,50
830,69,52,90,57
831,70,47,100,50
832,75,38,98,56
833,77,46,74,52
834,85,48,70,62
835,88,56,88,69
836,84,59,93,51
837,70,42,85,57
838,91,51,80,60
839,92,44,76,60
840,75,46,72,70
841,75,42,86,50
842,82,39,85,69
843,74,38,87,70
844,93,42,72,55
845,78,29,73,66
846,87,43,82,60
847,86,49,81,69
848,64,48,90,68
849,79,40,80,70
850,110,42,90,68
851,82,36,82,57
852,71,52,79,76
853,79,47,89,62
854,82,50,98,56
855,99,56,70,62
856,82,50,87,63
857,65,44,76,49
858,80,46,87,62
859,88,42,73,51
860,74,55,96,56
861,91,42,88,55
862,84,43,69,53
863,83,40,71,59
864,92,47,79,57
865,80,61,72,54
866,85,45,78,49
867,77,45,82,61
868,85,36,78,65
869,92,36,90,54
870,81,47,90,51
871,77,44,84,49
872,72,52,77,64
873,73,54,81,53
874,76,32,90,48
