Avg_ch1,Err_ch1,Avg_ch2,Err_ch2,Avg_ch3,Err_ch3,Avg_ch4,Err_ch4,Avg_coinc12,Err_coinc12
7563.461,5.697360602404751,8727.234,6.138554131293689,85.586,0.554275777603205,57.216,0.4752844109281002,633.753,1.6579181694693668
Sample,ch1,ch2,ch3,ch4,coinc12
492,7437,8567,88,60,611
493,7592,8776,92,65,645
494,7583,8818,77,52,596
495,7411,8830,103,62,627
496,7462,8670,72,41,585
497,7533,8615,84,52,619
498,7639,8979,77,45,710
499,7493,8764,86,55,602
500,7583,8985,99,56,649
501,7512,8866,88,70,615
502,7620,8695,99,59,627
503,7728,8607,84,53,669
504,7714,8745,83,59,629
505,7608,8897,87,57,657
506,7674,8747,74,60,629
507,7536,8482,86,59,632
508,7610,8765,92,54,635
509,7441,8647,93,56,635
510,7410,8894,83,46,631
511,7551,8701,92,70,617
512,7486,8670,95,48,672
513,7583,8789,83,58,655
514,7589,8721,79,55,639
515,7540,8828,89,62,633
516,7635,8820,88,44,669
517,7679,8692,85,67,674
518,7599,8562,84,45,631
519,7539,8744,88,64,622
520,7524,8717,79,57,664
521,7697,8649,85,65,661
522,7572,8616,93,64,669
523,7614,8714,92,53,586
524,7647,8546,80,61,645
525,7534,8665,96,68,667
526,7480,8907,70,61,648
527,7632,8871,71,47,650
528,7732,8645,97,50,623
529,7473,8825,94,64,627
530,7520,8718,80,48,640
531,7468,8577,82,57,673
532,7597,8800,107,67,686
533,7544,8717,79,56,613
534,7636,8689,87,63,604
535,7571,8642,94,53,661
536,7460,8775,83,55,636
537,7751,8758,92,66,655
538,7620,8890,92,51,622
539,7539,8819,91,67,649
540,7691,8669,76,66,639
541,7645,8548,86,56,654
542,7620,8726,90,48,642
543,7548,8633,96,51,652
544,7525,8775,67,58,622
545,7653,8676,72,50,640
546,7665,8729,86,56,633
547,7549,8777,85,59,662
548,7695,8859,91,54,645
549,7673,8733,77,73,616
550,7521,8676,83,69,614
551,7675,8725,69,53,641
552,7573,8740,84,66,593
553,7571,8703,96,62,601
554,7540,8777,100,55,646
555,7504,8676,81,56,661
556,7536,8760,83,67,654
557,7538,8834,86,57,628
558,7565,8952,88,50,659
559,7586,8770,84,62,596
560,7583,8722,86,67,619
561,7673,8712,87,60,606
562,7514,8722,85,51,620
563,7548,8823,88,69,626
564,7563,8749,89,52,660
565,7727,8736,72,59,620
566,7686,8579,95,49,639
567,7546,8703,98,58,622
568,7539,8625,86,57,631
569,7604,8608,78,60,674
570,7562,8779,88,59,662
571,7594,8690,91,70,634
572,7638,8790,93,44,644
573,7647,8785,96,46,638
574,7415,8678,78,57,634
575,7705,8666,103,55,622
576,7837,8789,77,60,649
577,7761,8780,85,57,654
578,7554,8732,84,41,600
579,7605,8678,77,50,610
580,7511,8722,88,56,668
581,7495,8728,82,57,618
582,7611,8761,84,50,652
583,7516,8796,91,67,625
584,7566,8607,65,55,607
585,7553,8598,101,54,632
586,7640,8688,112,59,602
587,7629,8676,95,52,611
588,7696,8669,83,48,614
589,7518,8847,81,53,623
590,7530,8601,79,59,610
591,7620,8686,79,58,639
592,7437,8734,99,52,579
593,7485,8854,77,52,619
594,7443,8683,88,41,630
595,7616,8720,85,53,609
596,7571,8748,99,52,635
597,7629,8759,97,49,587
598,7574,8829,73,52,632
599,7641,8702,90,50,642
600,7680,8682,95,57,654
601,7633,8673,85,52,664
602,7522,8897,85,55,640
603,7529,8752,84,54,627
604,7636,8887,83,71,595
605,7394,8593,90,56,604
606,7540,8708,95,57,663
607,7790,8580,86,58,637
608,7458,8555,80,54,568
609,7675,8825,74,55,663
610,7558,8801,91,51,646
611,7410,8809,88,55,626
612,7610,8785,83,49,666
613,7503,8663,76,57,645
614,7726,8689,73,64,674
615,7648,8718,99,62,622
616,7718,8843,78,54,654
617,7589,8810,110,62,623
618,7422,8725,70,60,661
619,7620,8959,79,53,662
620,7601,8745,80,53,657
621,7608,8691,97,50,631
622,7602,8700,91,65,645
623,7556,8685,86,68,600
624,7544,8613,82,64,624
625,7731,8898,87,59,653
626,7727,8750,88,56,610
627,7614,8774,85,67,676
628,7564,8616,90,63,639
629,7561,8711,81,65,665
630,7759,8691,82,68,660
631,7628,8745,84,63,632
632,7563,8768,84,45,665
633,7642,8693,109,67,624
634,7564,9079,102,53,686
635,7637,8472,77,53,606
636,7569,8708,74,56,587
637,7478,8706,78,55,617
638,7735,8766,92,57,650
639,7552,8651,85,53,638
640,7601,8818,101,68,683
641,7524,8574,92,40,583
642,7672,8900,85,60,657
643,7644,8745,76,56,625
644,7540,8634,83,43,573
645,7637,8721,84,69,681
646,7674,8553,73,60,658
647,7777,8811,76,63,663
648,7536,8813,66,62,572
649,7547,8787,86,53,626
650,7441,8604,67,56,635
651,7708,8773,90,59,687
652,7835,8834,83,64,628
653,7671,8602,76,55,642
654,7511,8632,77,76,646
655,7665,8829,88,53,655
656,7520,8739,82,66,645
657,7623,8621,87,55,654
658,7499,8687,69,58,600
659,7622,8534,68,67,644
660,7710,8817,75,54,626
661,7550,8790,87,63,610
662,7665,8652,76,60,645
663,7615,8921,88,51,669
664,7615,8791,97,59,646
665,7466,8678,91,60,656
666,7532,8583,79,55,629
667,7578,8670,80,63,661
668,7635,8771,81,47,580
669,7701,8666,78,72,630
670,7637,8768,94,54,636
671,7595,8583,86,59,662
672,7458,8848,92,43,645
673,7543,8573,84,46,660
674,7621,8950,76,53,662
675,7627,8775,101,54,651
676,7633,8701,83,64,604
677,7527,8665,81,68,631
678,7551,8625,82,56,644
679,7547,8664,81,48,618
680,7595,8662,89,68,626
681,7558,8787,86,65,610
682,7609,8652,103,48,646
683,7537,8796,78,59,650
684,7618,8711,74,67,669
685,7639,8794,81,51,624
686,7604,8569,81,57,631
687,7539,8693,69,52,629
688,7598,8626,72,61,588
689,7523,8533,82,56,587
690,7527,8764,97,56,591
691,7584,8820,89,48,668
692,7658,8694,92,62,649
693,7646,8706,96,67,624
694,7721,8661,90,52,648
695,7537,8780,80,52,633
696,7450,8779,80,52,615
697,7526,8882,78,72,649
698,7582,8649,80,60,659
699,7590,8926,90,48,646
700,7660,8657,89,47,631
701,7524,8716,93,63,648
702,7635,8841,82,65,644
703,7495,8691,96,54,659
704,7606,8681,92,47,665
705,7455,8709,97,51,605
706,7695,8808,77,45,639
707,7601,8709,76,59,666
708,7596,8825,87,61,639
709,7533,8719,89,56,654
710,7591,8784,81,48,659
711,7639,8820,95,53,634
712,7570,8840,101,55,608
713,7669,8544,92,57,646
714,7598,8654,89,56,595
715,7694,8678,88,56,622
716,7565,8800,105,62,654
717,7487,8620,70,61,623
718,7611,8724,95,57,620
719,7651,8900,95,61,669
720,7565,8697,91,59,606
721,7517,8649,100,52,620
722,7550,8828,75,71,581
723,7577,8596,87,54,610
724,7680,8683,92,64,639
725,7553,8670,88,56,640
726,7719,8739,91,50,660
727,7502,8701,87,50,651
728,7538,8689,93,59,598
729,7606,8825,81,61,657
730,7647,8620,95,52,604
731,7551,8870,85,61,660
732,7465,8679,91,54,674
733,7681,8724,87,47,642
734,7499,8748,90,57,588
735,7645,8637,78,64,663
736,7579,8733,95,59,646
737,7641,8852,95,54,630
738,7507,8670,87,53,642
739,7691,8664,82,53,608
740,7608,8739,80,51,620
