Avg_ch1,Err_ch1,Avg_ch2,Err_ch2,Avg_ch3,Err_ch3,Avg_ch4,Err_ch4,Avg_coinc12,Err_coinc12
7568.012,5.510779265413569,136.64,0.6999682532483565,86.048,0.5871281831963984,56.913,0.47307242735285415,5.277,0.14446436915016087
Sample,ch1,ch2,ch3,ch4,coinc12
419,7692,137,91,62,3
420,7613,146,97,61,9
421,7547,162,86,68,5
422,7518,148,75,55,8
423,7546,136,90,53,5
424,7564,147,59,44,3
425,7618,123,97,69,4
426,7500,135,100,47,7
427,7584,157,95,50,13
428,7573,135,85,52,9
429,7598,130,70,48,6
430,7510,154,110,56,4
431,7657,140,72,63,2
432,7594,132,81,58,5
433,7722,129,81,61,8
434,7578,146,91,48,11
435,7436,127,86,54,8
436,7573,142,86,59,5
437,7565,139,76,57,6
438,7699,132,108,66,4
439,7578,148,94,59,7
440,7643,147,99,59,5
441,7509,148,81,49,3
442,7675,132,107,50,6
443,7588,127,75,62,3
444,7514,146,79,66,4
445,7685,154,88,61,6
446,7640,129,70,68,2
447,7450,140,93,58,2
448,7637,156,97,43,3
449,7569,141,84,59,5
450,7535,130,80,60,4
451,7582,142,76,44,6
452,7687,139,85,73,4
453,7586,139,73,50,4
454,7591,121,80,57,6
455,7505,134,88,57,5
456,7632,128,100,57,4
457,7640,140,81,62,5
458,7559,132,87,69,4
459,7638,119,89,49,5
460,7591,117,79,61,4
461,7593,163,80,51,3
462,7652,119,80,72,7
463,7608,159,73,66,10
464,7534,142,99,61,14
465,7519,106,85,68,6
466,7675,128,92,54,7
467,7651,133,85,50,8
468,7809,140,77,59,7
469,7522,133,92,58,5
470,7509,149,84,48,2
471,7610,152,70,47,3
472,7452,124,91,60,8
473,7459,154,88,59,6
474,7569,139,87,57,5
475,7466,143,87,61,9
476,7416,148,92,71,7
477,7546,137,86,51,2
478,7582,149,87,67,9
479,7591,145,79,58,5
480,7715,135,89,52,2
481,7577,153,83,43,4
482,7429,120,84,69,3
483,7544,122,75,66,5
484,7663,124,97,64,7
485,7570,130,80,43,6
486,7548,146,75,52,8
487,7649,147,71,56,1
488,7654,148,93,64,7
489,7771,147,103,26,6
490,7674,139,70,62,9
491,7732,143,82,51,5
492,7466,138,76,59,7
493,7539,137,84,53,8
494,7478,138,80,66,6
495,7614,105,89,52,2
496,7701,147,92,42,6
497,7621,126,82,51,8
498,7624,141,94,55,4
499,7457,128,78,58,4
500,7685,155,68,72,2
501,7608,150,71,51,8
502,7536,162,88,50,8
503,7456,133,73,49,6
504,7533,138,90,40,8
505,7628,136,89,60,5
506,7560,132,81,56,5
507,7499,120,75,54,2
508,7485,137,94,46,6
509,7621,154,75,60,8
510,7605,139,85,69,7
511,7659,131,77,57,3
512,7790,141,76,41,2
513,7507,148,87,53,3
514,7662,116,90,39,11
515,7562,147,84,40,5
516,7534,138,82,51,5
517,7671,135,96,62,3
518,7514,138,95,52,3
519,7550,145,86,65,3
520,7780,145,92,55,6
521,7493,148,89,42,7
522,7663,155,73,47,4
523,7537,129,72,41,6
524,7639,151,77,62,7
525,7642,149,93,56,4
526,7595,153,93,66,7
527,7496,132,91,59,9
528,7569,131,84,58,9
529,7597,140,74,65,7
530,7628,133,85,65,11
531,7645,156,84,54,11
532,7600,134,83,57,3
533,7589,133,96,50,5
534,7530,125,75,53,3
535,7600,138,74,71,2
536,7619,139,93,49,2
537,7385,151,71,57,8
538,7572,135,109,42,1
539,7557,150,85,65,4
540,7723,141,77,47,7
541,7635,122,82,51,1
542,7652,133,83,62,7
543,7557,114,70,57,4
544,7550,149,90,57,5
545,7523,154,79,52,5
546,7648,156,72,71,6
547,7688,145,82,53,2
548,7623,136,80,50,3
549,7692,136,93,63,4
550,7543,140,99,59,5
551,7513,140,79,66,3
552,7544,143,76,67,5
553,7683,147,84,63,5
554,7581,141,71,54,6
555,7577,134,90,60,6
556,7805,131,71,52,5
557,7520,137,94,58,7
558,7535,148,79,56,4
559,7455,146,76,64,2
560,7567,123,98,66,7
561,7548,121,79,67,2
562,7574,137,77,52,6
563,7657,138,86,53,1
564,7527,148,94,52,7
565,7644,143,104,55,5
566,7572,136,87,61,5
567,7491,131,67,62,6
568,7344,119,86,55,4
569,7670,160,89,64,6
570,7444,135,76,47,6
571,7426,148,91,60,5
572,7453,145,82,49,5
573,7474,132,76,70,4
574,7548,129,89,51,6
575,7482,138,81,73,5
576,7641,102,90,44,6
577,7647,132,81,61,4
578,7582,154,109,47,6
579,7447,119,95,61,3
580,7782,112,89,45,8
581,7616,143,79,49,5
582,7678,123,105,57,5
583,7466,126,82,63,5
584,7457,129,95,62,4
585,7615,136,84,63,4
586,7548,135,89,62,2
587,7575,129,71,68,3
588,7499,145,74,59,9
589,7518,156,89,60,10
590,7560,129,89,42,5
591,7550,141,91,58,6
592,7546,136,86,66,3
593,7592,124,82,57,3
594,7567,146,84,56,5
595,7504,143,94,48,3
596,7453,155,78,53,4
597,7567,137,76,46,5
598,7586,122,68,68,5
599,7628,124,77,59,5
600,7676,161,84,61,1
601,7651,132,95,51,3
602,7630,127,82,53,3
603,7759,124,98,47,5
604,7651,143,98,57,3
605,7667,148,92,56,5
606,7565,141,88,55,5
607,7534,139,68,54,4
608,7699,145,85,66,4
609,7755,130,80,58,8
610,7679,131,72,61,6
611,7510,139,103,53,8
612,7654,158,83,45,5
613,7637,146,71,48,3
614,7589,153,83,60,9
615,7606,150,96,62,6
616,7666,138,89,47,5
617,7562,154,83,44,5
618,7430,145,83,56,4
619,7680,151,86,59,8
620,7474,132,69,58,4
621,7597,117,74,62,9
622,7652,142,100,62,3
623,7634,146,83,56,7
624,7508,150,94,55,11
625,7609,139,66,57,7
626,7524,147,88,74,7
627,7460,128,108,65,6
628,7626,132,89,60,4
629,7592,125,87,57,4
630,7701,143,74,53,6
631,7673,140,84,62,6
632,7488,126,91,64,2
633,7532,157,90,66,3
634,7680,152,99,59,7
635,7581,138,88,61,4
636,7512,141,110,51,5
637,7483,124,77,55,4
638,7656,152,96,43,6
639,7516,131,77,43,6
640,7508,138,84,52,4
641,7479,134,77,64,7
642,7599,137,76,60,8
643,7643,141,107,62,2
644,7448,151,82,42,4
645,7451,124,71,52,5
646,7490,131,80,54,5
647,7685,137,75,56,3
648,7655,138,81,52,8
649,7551,122,83,47,5
650,7568,136,70,54,3
651,7541,137,64,67,5
652,7432,147,86,64,5
653,7599,121,81,55,4
654,7462,131,101,67,6
655,7536,142,89,54,10
656,7601,118,89,54,7
657,7569,125,93,70,4
658,7508,125,110,69,4
659,7763,119,85,59,6
660,7584,138,87,73,5
661,7648,116,86,50,6
662,7729,135,99,53,8
663,7573,141,93,70,8
664,7725,139,83,55,2
665,7551,159,73,53,7
666,7544,139,80,65,5
667,7496,133,92,59,3
668,7640,154,78,48,3
669,7630,146,74,51,9
670,7639,136,103,66,7
671,7523,132,78,60,9
672,7511,137,78,51,2
673,7561,133,88,52,5
674,7491,135,96,63,7
675,7516,144,88,59,4
676,7645,133,90,64,3
677,7421,142,82,54,4
678,7457,139,86,62,8
679,7668,123,91,65,4
680,7594,138,93,51,7
681,7438,149,86,43,7
682,7609,143,72,70,7
683,7574,141,104,64,6
684,7645,118,81,51,5
685,7557,127,92,53,6
686,7455,117,81,61,4
687,7711,121,87,46,5
688,7525,143,94,53,6
689,7575,134,85,59,3
690,7579,143,97,47,5
691,7581,131,87,46,5
692,7618,157,75,64,9
693,7401,134,82,51,2
694,7425,130,90,64,6
695,7546,139,76,53,2
696,7553,136,95,67,5
697,7467,140,76,47,2
698,7483,142,80,59,5
699,7636,148,84,52,5
700,7466,134,98,64,4
701,7561,135,92,56,5
702,7585,116,84,54,4
703,7665,130,78,51,5
704,7439,123,77,69,4
705,7423,152,99,60,7
706,7532,152,79,41,8
707,7440,133,81,54,0
708,7454,138,92,62,4
709,7422,126,93,46,7
710,7570,127,79,46,4
711,7425,132,82,51,3
712,7591,138,100,67,9
713,7388,142,83,58,12
714,7454,144,87,61,1
715,7468,142,91,58,4
716,7486,121,85,59,5
717,7484,131,89,54,5
718,7433,133,111,58,5
719,7573,149,95,71,8
720,7618,125,85,54,5
721,7648,133,70,55,8
722,7572,143,83,63,4
723,7512,117,94,61,2
724,7542,154,95,57,4
725,7523,138,96,56,3
726,7504,134,82,70,5
727,7663,136,88,48,7
728,7525,160,87,71,6
729,7546,131,73,62,4
730,7426,148,90,48,10
731,7404,137,87,64,4
732,7491,133,82,49,2
733,7481,123,83,60,8
734,7454,133,100,46,8
735,7549,132,82,65,6
736,7693,136,83,59,5
737,7590,133,81,52,11
738,7562,150,97,58,7
739,7673,123,78,56,6
740,7764,124,87,59,5
741,7457,159,90,58,5
742,7480,145,78,69,6
743,7487,121,75,51,5
744,7571,131,86,62,5
745,7659,141,93,54,2
746,7768,129,86,63,7
747,7662,138,88,51,13
